Delta_V_H,HII_T,QHI,R_H,dNLLdz,gamma_PI_H,global_T,mfp_H,redshift
59.21,12089.63647950784,0.024368617289276164,4.645201524254963,11.206422182616926,0.05644098545230609,207.76923540985823,1.5695057561776881e+24,13.399999999999999
59.21,12134.447333335063,0.027645553151640644,4.646651736936545,10.872781712217042,0.06266005593156579,235.59756290676614,1.6752039074177558e+24,13.2
59.21,12178.97820594994,0.031319558318910375,4.648071485167607,10.556168414985716,0.06937383982717202,266.9315438757677,1.787703504722141e+24,13.0
59.21,12223.167672487294,0.03543252887881261,4.649458195841476,10.255756009233,0.07659468034072735,302.15387543438686,1.9074306147217676e+24,12.799999999999999
59.21,12266.953826916113,0.040030059295496814,4.650813751055338,9.970752017973881,0.08433042000932908,341.68188368816277,2.034842270755768e+24,12.6
59.21,12310.274711142576,0.04516174551362276,4.652144367857129,9.700413183987907,0.0925848927468612,385.970237600059,2.1704260960981564e+24,12.399999999999999
59.21,12353.068386885421,0.05088136326928702,4.653460084540838,9.444040397100427,0.10135647176855675,435.5125750944667,2.3147032800443197e+24,12.2
59.21,12395.27277323669,0.05724704820223184,4.654774018025091,9.200983945941141,0.11063748934638276,490.8430974028396,2.468229394344609e+24,12.0
59.21,12436.82509678656,0.06432143429757839,4.6561013728311895,8.970643705074345,0.12041346896662304,552.5377427634896,2.6315959038407376e+24,11.799999999999999
59.21,12477.661158986555,0.07217173607720848,4.657458306499907,8.75246841843111,0.1306623245076885,621.2148057348456,2.805431735163334e+24,11.6
59.21,12517.714273989923,0.08086974197240229,4.658860764994003,8.545954317380946,0.14135340822116238,697.5346839344753,2.9904049284995163e+24,11.399999999999999
59.21,12556.914025757598,0.09049164100512298,4.660323419906171,8.35064395885932,0.15244606900455093,782.1980456816412,3.1872241405791974e+24,11.2
59.21,12595.184911103439,0.10111752946624912,4.661858841235449,8.16612681014932,0.16388719275153102,875.9410304309968,3.396639303861988e+24,11.0
59.21,12632.444658112167,0.11282709253828604,4.663477023779702,7.9920435448782525,0.17558529034980136,979.496856737181,3.619440088310146e+24,10.799999999999999
59.21,12668.607371784065,0.12574323230291604,4.66518608009673,7.828171144677087,0.18771945682759472,1093.975596451601,3.8564130456713676e+24,10.6
59.21,12703.571784833941,0.13996440921620656,4.666982952204697,7.6734646668816024,0.20006701028853266,1220.2740611063819,4.1088347817080744e+24,10.399999999999999
59.21,12737.227591850606,0.1555883553854706,4.668869906460377,7.527747611823573,0.21250356377761684,1359.2792861832515,4.37768465540333e+24,10.2
59.21,12769.4556748576,0.1727204521447189,4.670848495412608,7.390937466592139,0.2249476424707087,1511.9402368883764,4.663954501610361e+24,10.0
59.21,12800.126861515437,0.1914721065582474,4.672918689241946,7.2628733779194175,0.2373044585659106,1679.2513510437404,4.968750792780825e+24,9.799999999999999
59.21,12829.101567951122,0.21196052407637314,4.675080249798939,7.143373406153869,0.24947116430518573,1862.2477021404807,5.293281855909301e+24,9.6
59.21,12856.229885598234,0.23430872751740012,4.677333647814522,7.032252750030091,0.2613391603179688,2062.00190427852,5.638861778246964e+24,9.399999999999999
59.21,12881.351999160272,0.2587187829787475,4.679982125297345,6.9293330346839666,0.27279575343129975,2280.189119050151,6.006918509817965e+24,9.2
